"Invalid email address.","Invalid email address."
"The name cannot be empty.","The name cannot be empty."
"The subject cannot be empty.","The subject cannot be empty."
"The message cannot be empty.","The message cannot be empty."
"This order no longer exists.","This order no longer exists."
"This order is assigned to another customer.","This order is assigned to another customer."
"This order is assigned to another email.","This order is assigned to another email."
"Upload error.","Upload error."
"Uploaded file is too large.","Uploaded file is too large."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
"Unable to submit your request. Please, try again later.","Unable to submit your request. Please, try again later."
"This ticket is closed.","This ticket is closed."
"The message cannot be empty.","The message cannot be empty."
"SupportSuite","SupportSuite"
"Manage Templates","Manage Templates"
"This template no longer exists.","This template no longer exists."
"New template","New template"
"The title cannot be empty.","The title cannot be empty."
"The content cannot be empty.","The content cannot be empty."
"The template has been saved.","The template has been saved."
"An error occurred while deleting the template.","An error occurred while deleting the template."
"The template has been deleted.","The template has been deleted."
"Unable to find a template to delete.","Unable to find a template to delete."
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Manage Tickets","Manage Tickets"
"This message no longer exists.","This message no longer exists."
"This ticket no longer exists.","This ticket no longer exists."
"New ticket","New ticket"
"The store cannot be empty.","The store cannot be empty."
"This store no longer exists.","This store no longer exists."
"The ticket has been saved.","The ticket has been saved."
"An error occurred while saving the ticket.","An error occurred while saving the ticket."
"Lowest","Lowest"
"Low","Low"
"Normal","Normal"
"High","High"
"Highest","Highest"
"None","None"
"TLS","TLS"
"SSL","SSL"
"POP3","POP3"
"IMAP","IMAP"
"Create Ticket","Create Ticket"
"Ticket #","Ticket #"
"Priority","Priority"
"Open","Open"
"No","No"
"Yes","Yes"
"Subject","Subject"
"Email","Email"
"Submitted On","Submitted On"
"Last Customer Query","Last Customer Query"
"Last Staff Reply","Last Staff Reply"
"Tickets","Tickets"
"Save and Continue Edit","Save and Continue Edit"
"Edit template: '%s'","Edit template: '%s'"
"New template","New template"
"Template #","Template #"
"Title","Title"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Template Information","Template Information"
"Content","Content"
"Attachment","Attachment"
"First, select a template!","First, select a template!"
"Edit ticket #%s: '%s'","Edit ticket #%s: '%s'"
"New ticket","New ticket"
"Ticket Information","Ticket Information"
"Notes","Notes"
"Note","Note"
"Messages","Messages"
"Reply","Reply"
"Ticket Options","Ticket Options"
"Store View","Store View"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Order #","Order #"
"Template","Template"
"Load","Load"
"Message","Message"
"Add Attachment","Add Attachment"
"Email Copy of Response","Email Copy of Response"
"My Tickets","My Tickets"
"View Ticket","View Ticket"
"You have not submitted any tickets yet.","You have not submitted any tickets yet."
"Back","Back"
"Submit Ticket","Submit Ticket"
"Your Name","Your Name"
"Your Email","Your Email"
"* Required Fields","* Required Fields"
"Ticket #%s: '%s'","Ticket #%s: '%s'"
"Reply Information","Reply Information"
"Save","Save"
"Quote","Quote"
"Creates new tickets from email. All mailbox parameters must be set to use this functionality!","Creates new tickets from email. All mailbox parameters must be set to use this functionality!"
"Protocol","Protocol"
"Host","Host"
"Port","Port"
"110 for POP3, 995 for POP3-SSL, 143 for IMAP and 993 for IMAP-SSL by default","110 for POP3, 995 for POP3-SSL, 143 for IMAP and 993 for IMAP-SSL by default"
"Use SSL/TLS","Use SSL/TLS"
"Username","Username"
"Password","Password"
"Delete processed emails","Delete processed emails"
"Max upload file size (in bytes)","Max upload file size (in bytes)"
"Apply limit on email attachments","Apply limit on email attachments"
"Default priority for new tickets","Default priority for new tickets"
"Override default contact form","Override default contact form"
"Ticket Email Sender","Ticket Email Sender"
"New Ticket Customer Template","New Ticket Customer Template"
"Ticket Reply Customer Template","Ticket Reply Customer Template"
"Product Question - %s","Product Question - %s"
"Ask a Question","Ask a Question"
